"period","location","stateDescription","sectorid","sectorDescription","fueltypeid","fuelTypeDescription","ash.content","ash.content.units","consumption.for.eg","consumption.for.eg.units","consumption.for.eg.btu","consumption.for.eg.btu.units","consumption.uto","consumption.uto.units","consumption.uto.btu","consumption.uto.btu.units","cost","cost.units","cost.per.btu","cost.per.btu.units","generation","generation.units","heat.content","heat.content.units","receipts","receipts.units","receipts.btu","receipts.btu.units","stocks","stocks.units","sulfur.content","sulfur.content.units","total.consumption","total.consumption.units","total.consumption.btu","total.consumption.btu.units"
"2019-05","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",54.30877,"million MMBtu",0,"thousand physical units",0.38019,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",5878.16486,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",54.68896,"million MMBtu"
"2019-05","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",24.21862,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",2719.66469,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",24.21862,"million MMBtu"
"2019-04","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",49.13809,"million MMBtu",0,"thousand physical units",0.25972,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",5324.17168,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",49.39781,"million MMBtu"
"2019-04","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",13.12262,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1473.6241,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",13.12262,"million MMBtu"
"2019-04","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",23.24982,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",2610.87134,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",23.24982,"million MMBtu"
"2019-04","CA","California",98,"Electric Power","NG","natural gas",0,"percent",24394.156,"thousand Mcf",25.12548,"million MMBtu",2484.988,"thousand Mcf",2.56075,"million MMBtu",3.28,"dollars per Mcf",3.197,"dollars per million Btu",3330.84153,"thousand megawatthours",1.03,"Btu per Mcf",24092.192,"thousand Mcf",24757.74597,"billion Btu",NA,"thousand Mcf",0,"percent",26879.144,"thousand Mcf",27.68623,"million MMBtu"
"2019-03","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",20.04281,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",2250.73538,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",20.04281,"million MMBtu"
"2019-03","CA","California",98,"Electric Power","NG","natural gas",0,"percent",36578.923,"thousand Mcf",37.60617,"million MMBtu",2435.674,"thousand Mcf",2.49804,"million MMBtu",4.53,"dollars per Mcf",4.4241,"dollars per million Btu",5062.98216,"thousand megawatthours",1.0279,"Btu per Mcf",33578.738,"thousand Mcf",34463.1288,"billion Btu",NA,"thousand Mcf",0,"percent",39014.597,"thousand Mcf",40.10421,"million MMBtu"
"2019-03","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",43.44975,"million MMBtu",0,"thousand physical units",0.363,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",4693.21655,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",43.81275,"million MMBtu"
"2019-03","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",9.70967,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1090.3622,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",9.70967,"million MMBtu"
"2019-02","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",35.42254,"million MMBtu",0,"thousand physical units",0.3739,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3787.38019,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",35.79644,"million MMBtu"
"2019-02","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",9.37435,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1052.70666,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",9.37435,"million MMBtu"
"2019-02","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",13.19906,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1482.20594,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",13.19906,"million MMBtu"
"2019-02","CA","California",98,"Electric Power","NG","natural gas",0,"percent",44493.363,"thousand Mcf",45.86159,"million MMBtu",2244.695,"thousand Mcf",2.30601,"million MMBtu",NA,"dollars per Mcf",NA,"dollars per million Btu",6094.50534,"thousand megawatthours",1.0306,"Btu per Mcf",39171.589,"thousand Mcf",40372.86433,"billion Btu",NA,"thousand Mcf",0,"percent",46738.058,"thousand Mcf",48.1676,"million MMBtu"
"2019-01","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",30.2434,"million MMBtu",0,"thousand physical units",0.39941,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3171.27294,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",30.64281,"million MMBtu"
"2019-01","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",4.77469,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",536.1802,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",4.77469,"million MMBtu"
"2019-01","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",11.18425,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1255.95292,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",11.18425,"million MMBtu"
"2019-01","CA","California",98,"Electric Power","NG","natural gas",0,"percent",46778.658,"thousand Mcf",48.19554,"million MMBtu",2797.06,"thousand Mcf",2.87378,"million MMBtu",4.99,"dollars per Mcf",4.8578,"dollars per million Btu",6524.47754,"thousand megawatthours",1.0301,"Btu per Mcf",42273.367,"thousand Mcf",43532.22434,"billion Btu",NA,"thousand Mcf",0,"percent",49575.718,"thousand Mcf",51.06932,"million MMBtu"
"2018-12","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",31.2342,"million MMBtu",0,"thousand physical units",0.40766,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3229.0428,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",31.64186,"million MMBtu"
"2018-12","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",5.1855,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",569.58394,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",5.1855,"million MMBtu"
"2018-12","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",11.14961,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1224.6946,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",11.14961,"million MMBtu"
"2018-12","CA","California",98,"Electric Power","NG","natural gas",0,"percent",49520.684,"thousand Mcf",51.02869,"million MMBtu",3973.912,"thousand Mcf",4.06282,"million MMBtu",6.34,"dollars per Mcf",6.1753,"dollars per million Btu",6968.20146,"thousand megawatthours",1.0299,"Btu per Mcf",47075.727,"thousand Mcf",48419.36622,"billion Btu",NA,"thousand Mcf",0,"percent",53494.596,"thousand Mcf",55.09152,"million MMBtu"
"2018-11","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",33.43927,"million MMBtu",0,"thousand physical units",0.27636,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3486.92915,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",33.71563,"million MMBtu"
"2018-11","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",5.80576,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",637.71445,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",5.80576,"million MMBtu"
"2018-11","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",13.61896,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1495.93125,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",13.61896,"million MMBtu"
"2018-11","CA","California",98,"Electric Power","NG","natural gas",0,"percent",51207.567,"thousand Mcf",52.79943,"million MMBtu",3894.077,"thousand Mcf",3.98297,"million MMBtu",NA,"dollars per Mcf",NA,"dollars per million Btu",7090.13367,"thousand megawatthours",1.0305,"Btu per Mcf",47805.104,"thousand Mcf",49224.06926,"billion Btu",NA,"thousand Mcf",0,"percent",55101.644,"thousand Mcf",56.78241,"million MMBtu"
"2018-10","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",9.35917,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1028.02845,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",9.35917,"million MMBtu"
"2018-10","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",19.20807,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",2109.84912,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",19.20807,"million MMBtu"
"2018-10","CA","California",98,"Electric Power","NG","natural gas",0,"percent",56869.732,"thousand Mcf",58.74708,"million MMBtu",4120.163,"thousand Mcf",4.21617,"million MMBtu",3.78,"dollars per Mcf",3.6662,"dollars per million Btu",7925.5542,"thousand megawatthours",1.0324,"Btu per Mcf",53140.473,"thousand Mcf",54845.72172,"billion Btu",NA,"thousand Mcf",0,"percent",60989.895,"thousand Mcf",62.96324,"million MMBtu"
"2018-10","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",42.44996,"million MMBtu",0,"thousand physical units",0.29885,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",4462.83001,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",42.74881,"million MMBtu"
"2018-09","CA","California",98,"Electric Power","NG","natural gas",0,"percent",50677.013,"thousand Mcf",52.32469,"million MMBtu",3779.853,"thousand Mcf",3.86567,"million MMBtu",3.58,"dollars per Mcf",3.4823,"dollars per million Btu",6949.62968,"thousand megawatthours",1.0318,"Btu per Mcf",47585.645,"thousand Mcf",49073.06461,"billion Btu",NA,"thousand Mcf",0,"percent",54456.866,"thousand Mcf",56.19037,"million MMBtu"
"2018-09","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",50.0072,"million MMBtu",0,"thousand physical units",0.33366,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",5298.1745,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",50.34086,"million MMBtu"
"2018-09","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",11.4514,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1257.84313,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",11.4514,"million MMBtu"
"2018-09","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",24.32223,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",2671.59889,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",24.32223,"million MMBtu"
"2018-08","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",55.37952,"million MMBtu",0,"thousand physical units",0.33337,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",5875.6455,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",55.71289,"million MMBtu"
"2018-08","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",25.65796,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",2818.31816,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",25.65796,"million MMBtu"
"2018-08","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",14.96871,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1644.19075,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",14.96871,"million MMBtu"
"2018-08","CA","California",98,"Electric Power","NG","natural gas",0,"percent",69861.027,"thousand Mcf",72.25163,"million MMBtu",4562.27,"thousand Mcf",4.67199,"million MMBtu",5.88,"dollars per Mcf",5.7042,"dollars per million Btu",9188.33691,"thousand megawatthours",1.0336,"Btu per Mcf",64287.395,"thousand Mcf",66407.20896,"billion Btu",NA,"thousand Mcf",0,"percent",74423.297,"thousand Mcf",76.92361,"million MMBtu"
"2018-07","CA","California",98,"Electric Power","NG","natural gas",0,"percent",77481.762,"thousand Mcf",80.14897,"million MMBtu",4663.886,"thousand Mcf",4.77654,"million MMBtu",6.87,"dollars per Mcf",6.6537,"dollars per million Btu",10131.05356,"thousand megawatthours",1.0338,"Btu per Mcf",71809.889,"thousand Mcf",74228.87704,"billion Btu",NA,"thousand Mcf",0,"percent",82145.648,"thousand Mcf",84.92551,"million MMBtu"
"2018-07","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",54.38094,"million MMBtu",0,"thousand physical units",0.32637,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",5773.30136,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",54.7073,"million MMBtu"
"2018-07","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",14.24118,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1564.27831,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",14.24118,"million MMBtu"
"2018-07","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",25.45984,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",2796.55603,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",25.45984,"million MMBtu"
"2018-06","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",29.42796,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3232.42038,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",29.42796,"million MMBtu"
"2018-06","CA","California",98,"Electric Power","NG","natural gas",0,"percent",37585.175,"thousand Mcf",38.82091,"million MMBtu",3631.621,"thousand Mcf",3.73429,"million MMBtu",3.36,"dollars per Mcf",3.2654,"dollars per million Btu",5096.56315,"thousand megawatthours",1.0325,"Btu per Mcf",35982.639,"thousand Mcf",37093.47243,"billion Btu",NA,"thousand Mcf",0,"percent",41216.796,"thousand Mcf",42.5552,"million MMBtu"
"2018-06","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",59.87205,"million MMBtu",0,"thousand physical units",0.2686,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",6373.04381,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",60.14065,"million MMBtu"
"2018-06","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",16.22763,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1782.47258,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",16.22763,"million MMBtu"
"2018-05","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",59.02522,"million MMBtu",0,"thousand physical units",0.38271,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",6298.87608,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",59.40792,"million MMBtu"
"2018-05","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",17.54952,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1927.67124,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",17.54952,"million MMBtu"
"2018-05","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",27.36192,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3005.48295,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",27.36192,"million MMBtu"
"2018-05","CA","California",98,"Electric Power","NG","natural gas",0,"percent",25477.217,"thousand Mcf",26.23045,"million MMBtu",3482.736,"thousand Mcf",3.58155,"million MMBtu",2.88,"dollars per Mcf",2.7997,"dollars per million Btu",3418.95395,"thousand megawatthours",1.0294,"Btu per Mcf",23625.509,"thousand Mcf",24321.14441,"billion Btu",NA,"thousand Mcf",0,"percent",28959.953,"thousand Mcf",29.812,"million MMBtu"
"2018-04","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",46.26636,"million MMBtu",0,"thousand physical units",0.17922,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",4909.34498,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",46.44558,"million MMBtu"
"2018-04","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",11.22302,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1232.75596,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",11.22302,"million MMBtu"
"2018-04","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",22.71047,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",2494.55931,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",22.71047,"million MMBtu"
"2018-04","CA","California",98,"Electric Power","NG","natural gas",0,"percent",29037.123,"thousand Mcf",29.8347,"million MMBtu",3410.466,"thousand Mcf",3.49579,"million MMBtu",3.06,"dollars per Mcf",2.9846,"dollars per million Btu",3899.4553,"thousand megawatthours",1.0272,"Btu per Mcf",26797.165,"thousand Mcf",27558.91756,"billion Btu",NA,"thousand Mcf",0,"percent",32447.589,"thousand Mcf",33.33049,"million MMBtu"
"2018-03","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",41.39773,"million MMBtu",0,"thousand physical units",0.2641,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",4390.57041,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",41.66184,"million MMBtu"
"2018-03","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",9.64501,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1059.42652,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",9.64501,"million MMBtu"
"2018-03","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",18.14545,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1993.12987,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",18.14545,"million MMBtu"
"2018-03","CA","California",98,"Electric Power","NG","natural gas",0,"percent",39948.202,"thousand Mcf",41.1543,"million MMBtu",3742.232,"thousand Mcf",3.83018,"million MMBtu",NA,"dollars per Mcf",NA,"dollars per million Btu",5482.6667,"thousand megawatthours",1.0296,"Btu per Mcf",38206.882,"thousand Mcf",39316.83749,"billion Btu",NA,"thousand Mcf",0,"percent",43690.434,"thousand Mcf",44.98448,"million MMBtu"
"2018-02","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",37.1503,"million MMBtu",0,"thousand physical units",0.38392,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3911.61793,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",37.53422,"million MMBtu"
"2018-02","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",8.06407,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",885.77162,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",8.06407,"million MMBtu"
"2018-02","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",15.84209,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1740.12301,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",15.84209,"million MMBtu"
"2018-02","CA","California",98,"Electric Power","NG","natural gas",0,"percent",38529.315,"thousand Mcf",39.67449,"million MMBtu",3539.098,"thousand Mcf",3.62653,"million MMBtu",3.72,"dollars per Mcf",3.6277,"dollars per million Btu",5311.3007,"thousand megawatthours",1.0293,"Btu per Mcf",35657.916,"thousand Mcf",36656.09055,"billion Btu",NA,"thousand Mcf",0,"percent",42068.413,"thousand Mcf",43.30102,"million MMBtu"
"2018-01","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",29.29025,"million MMBtu",0,"thousand physical units",0.36184,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3025.25521,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",29.65209,"million MMBtu"
"2018-01","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",3.8543,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",423.36285,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",3.8543,"million MMBtu"
"2018-01","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",11.24325,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1234.97844,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",11.24325,"million MMBtu"
"2018-01","CA","California",98,"Electric Power","NG","natural gas",0,"percent",43040.546,"thousand Mcf",44.48512,"million MMBtu",3972.37,"thousand Mcf",4.07343,"million MMBtu",3.79,"dollars per Mcf",3.675,"dollars per million Btu",6056.97282,"thousand megawatthours",1.0329,"Btu per Mcf",38776.042,"thousand Mcf",40022.89617,"billion Btu",NA,"thousand Mcf",0,"percent",47012.916,"thousand Mcf",48.55856,"million MMBtu"
"2017-12","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",29.15845,"million MMBtu",0,"thousand physical units",0.42314,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",2963.92865,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",29.58158,"million MMBtu"
"2017-12","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",2.23207,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",242.27489,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",2.23207,"million MMBtu"
"2017-12","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",12.19462,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1323.63105,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",12.19462,"million MMBtu"
