"period","location","stateDescription","sectorid","sectorDescription","fueltypeid","fuelTypeDescription","ash.content","ash.content.units","consumption.for.eg","consumption.for.eg.units","consumption.for.eg.btu","consumption.for.eg.btu.units","consumption.uto","consumption.uto.units","consumption.uto.btu","consumption.uto.btu.units","cost","cost.units","cost.per.btu","cost.per.btu.units","generation","generation.units","heat.content","heat.content.units","receipts","receipts.units","receipts.btu","receipts.btu.units","stocks","stocks.units","sulfur.content","sulfur.content.units","total.consumption","total.consumption.units","total.consumption.btu","total.consumption.btu.units"
"2022-07","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",64.09202,"million MMBtu",0,"thousand physical units",0.55648,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",7067.54075,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",64.6485,"million MMBtu"
"2022-07","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",37.53455,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",4244.54904,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",37.53455,"million MMBtu"
"2022-06","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",64.85422,"million MMBtu",0,"thousand physical units",0.59973,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",7167.93084,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",65.45395,"million MMBtu"
"2022-06","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",12.90905,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1459.80395,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",12.90905,"million MMBtu"
"2022-06","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",39.01274,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",4411.70815,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",39.01274,"million MMBtu"
"2022-06","CA","California",98,"Electric Power","NG","natural gas",0,"percent",46018.186,"thousand Mcf",47.46627,"million MMBtu",2107.821,"thousand Mcf",2.17231,"million MMBtu",NA,"dollars per Mcf",NA,"dollars per million Btu",6233.2463,"thousand megawatthours",1.0314,"Btu per Mcf",39356.656,"thousand Mcf",40580.85395,"billion Btu",NA,"thousand Mcf",0,"percent",48126.007,"thousand Mcf",49.63857,"million MMBtu"
"2022-05","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",65.8281,"million MMBtu",0,"thousand physical units",0.58324,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",7292.64048,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",66.41134,"million MMBtu"
"2022-05","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",16.03006,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1812.74024,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",16.03006,"million MMBtu"
"2022-05","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",36.92948,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",4176.12612,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",36.92948,"million MMBtu"
"2022-05","CA","California",98,"Electric Power","NG","natural gas",0,"percent",31332.43,"thousand Mcf",32.34152,"million MMBtu",1629.495,"thousand Mcf",1.68256,"million MMBtu",NA,"dollars per Mcf",NA,"dollars per million Btu",4258.69696,"thousand megawatthours",1.0322,"Btu per Mcf",27283.795,"thousand Mcf",28155.74268,"billion Btu",NA,"thousand Mcf",0,"percent",32961.925,"thousand Mcf",34.02408,"million MMBtu"
"2022-04","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",59.47033,"million MMBtu",0,"thousand physical units",0.45868,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",6586.37889,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",59.929,"million MMBtu"
"2022-04","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",15.24601,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1724.07687,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",15.24601,"million MMBtu"
"2022-04","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",31.96858,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3615.12968,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",31.96858,"million MMBtu"
"2022-04","CA","California",98,"Electric Power","NG","natural gas",0,"percent",35146.442,"thousand Mcf",36.19805,"million MMBtu",1828.591,"thousand Mcf",1.8854,"million MMBtu",7.15,"dollars per Mcf",6.9524,"dollars per million Btu",4816.37351,"thousand megawatthours",1.03,"Btu per Mcf",30624.967,"thousand Mcf",31547.88255,"billion Btu",NA,"thousand Mcf",0,"percent",36975.033,"thousand Mcf",38.08345,"million MMBtu"
"2022-03","CA","California",98,"Electric Power","NG","natural gas",0,"percent",33514.584,"thousand Mcf",34.39491,"million MMBtu",1904.358,"thousand Mcf",1.96215,"million MMBtu",5.5,"dollars per Mcf",5.3761,"dollars per million Btu",4581.42141,"thousand megawatthours",1.0265,"Btu per Mcf",28900.573,"thousand Mcf",29615.25409,"billion Btu",NA,"thousand Mcf",0,"percent",35418.942,"thousand Mcf",36.35707,"million MMBtu"
"2022-03","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",54.62382,"million MMBtu",0,"thousand physical units",0.6556,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",6000.68031,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",55.27942,"million MMBtu"
"2022-03","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",13.19473,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1492.11057,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",13.19473,"million MMBtu"
"2022-03","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",28.383,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3209.65665,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",28.383,"million MMBtu"
"2022-02","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",43.86704,"million MMBtu",0,"thousand physical units",0.51826,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",4786.32184,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",44.3853,"million MMBtu"
"2022-02","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",21.65789,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",2449.15442,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",21.65789,"million MMBtu"
"2022-02","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",9.93968,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1124.01678,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",9.93968,"million MMBtu"
"2022-02","CA","California",98,"Electric Power","NG","natural gas",0,"percent",35994.507,"thousand Mcf",37.24771,"million MMBtu",1613.284,"thousand Mcf",1.67061,"million MMBtu",6.04,"dollars per Mcf",5.8548,"dollars per million Btu",5041.15103,"thousand megawatthours",1.0349,"Btu per Mcf",32180.834,"thousand Mcf",33242.084,"billion Btu",NA,"thousand Mcf",0,"percent",37607.791,"thousand Mcf",38.91832,"million MMBtu"
"2022-01","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",18.36582,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",2076.87563,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",18.36582,"million MMBtu"
"2022-01","CA","California",98,"Electric Power","NG","natural gas",0,"percent",43876.949,"thousand Mcf",45.44118,"million MMBtu",1961.235,"thousand Mcf",2.02622,"million MMBtu",7.46,"dollars per Mcf",7.2421,"dollars per million Btu",6177.07666,"thousand megawatthours",1.0355,"Btu per Mcf",40834.161,"thousand Mcf",42162.57077,"billion Btu",NA,"thousand Mcf",0,"percent",45838.184,"thousand Mcf",47.4674,"million MMBtu"
"2022-01","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",42.18554,"million MMBtu",0,"thousand physical units",0.59985,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",4599.18657,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",42.78539,"million MMBtu"
"2022-01","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",9.91013,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1120.67448,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",9.91013,"million MMBtu"
"2021-12","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",13.18987,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1491.5625,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",13.18987,"million MMBtu"
"2021-12","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",33.05458,"million MMBtu",0,"thousand physical units",0.42498,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3568.86982,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",33.47956,"million MMBtu"
"2021-12","CA","California",98,"Electric Power","NG","natural gas",0,"percent",51917.444,"thousand Mcf",53.80268,"million MMBtu",1965.8,"thousand Mcf",2.03093,"million MMBtu",6.83,"dollars per Mcf",6.6114,"dollars per million Btu",7253.5597,"thousand megawatthours",1.0362,"Btu per Mcf",45942.09,"thousand Mcf",47535.42058,"billion Btu",NA,"thousand Mcf",0,"percent",53883.244,"thousand Mcf",55.83361,"million MMBtu"
"2021-12","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",6.57972,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",744.05884,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",6.57972,"million MMBtu"
