"period","location","stateDescription","sectorid","sectorDescription","fueltypeid","fuelTypeDescription","ash.content.units","consumption.for.eg.btu","consumption.for.eg.btu.units","consumption.uto.btu","consumption.uto.btu.units","generation","generation.units","total.consumption.btu","total.consumption.btu.units","consumption_gwh","ratio"
2022-08-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",58.19133,"million MMBtu",0.57456,"million MMBtu",6398.50575,"thousand megawatthours",58.76589,"million MMBtu",17177.9859690149,2.68468711917855
2022-08-01,"CA","California",98,"Electric Power","WND","wind","percent",9.57505,"million MMBtu",0,"million MMBtu",1082.78378,"thousand megawatthours",9.57505,"million MMBtu",2798.90382928968,2.58491481031391
2022-07-01,"CA","California",98,"Electric Power","NG","natural gas","percent",64.9123,"million MMBtu",1.98784,"million MMBtu",8603.50463,"thousand megawatthours",66.90014,"million MMBtu",19555.7263957907,2.27299539394689
2022-07-01,"CA","California",98,"Electric Power","WND","wind","percent",12.75584,"million MMBtu",0,"million MMBtu",1442.47919,"thousand megawatthours",12.75584,"million MMBtu",3728.68751826951,2.58491598639251
2022-07-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",64.09202,"million MMBtu",0.55648,"million MMBtu",7067.54075,"thousand megawatthours",64.6485,"million MMBtu",18897.5445776089,2.67385010515983
2022-07-01,"CA","California",98,"Electric Power","SUN","solar","percent",37.53455,"million MMBtu",0,"million MMBtu",4244.54904,"thousand megawatthours",37.53455,"million MMBtu",10971.8064893306,2.5849168865606
2022-06-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",64.85422,"million MMBtu",0.59973,"million MMBtu",7167.93084,"thousand megawatthours",65.45395,"million MMBtu",19132.9874305759,2.66924833088594
2022-06-01,"CA","California",98,"Electric Power","WND","wind","percent",12.90905,"million MMBtu",0,"million MMBtu",1459.80395,"thousand megawatthours",12.90905,"million MMBtu",3773.47266881029,2.58491742593948
2022-06-01,"CA","California",98,"Electric Power","SUN","solar","percent",39.01274,"million MMBtu",0,"million MMBtu",4411.70815,"thousand megawatthours",39.01274,"million MMBtu",11403.8994446068,2.58491701102369
2022-06-01,"CA","California",98,"Electric Power","NG","natural gas","percent",47.46627,"million MMBtu",2.17231,"million MMBtu",6233.2463,"thousand megawatthours",49.63857,"million MMBtu",14509.9590762935,2.32783342386029
2022-05-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",65.8281,"million MMBtu",0.58324,"million MMBtu",7292.64048,"thousand megawatthours",66.41134,"million MMBtu",19412.844197603,2.66197740733862
2022-05-01,"CA","California",98,"Electric Power","WND","wind","percent",16.03006,"million MMBtu",0,"million MMBtu",1812.74024,"thousand megawatthours",16.03006,"million MMBtu",4685.78193510669,2.58491637781853
2022-05-01,"CA","California",98,"Electric Power","SUN","solar","percent",36.92948,"million MMBtu",0,"million MMBtu",4176.12612,"thousand megawatthours",36.92948,"million MMBtu",10794.9371528793,2.58491646149788
2022-05-01,"CA","California",98,"Electric Power","NG","natural gas","percent",32.34152,"million MMBtu",1.68256,"million MMBtu",4258.69696,"thousand megawatthours",34.02408,"million MMBtu",9945.65331774335,2.33537474282823
2022-04-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",59.47033,"million MMBtu",0.45868,"million MMBtu",6586.37889,"thousand megawatthours",59.929,"million MMBtu",17517.9771996492,2.65972812864539
2022-04-01,"CA","California",98,"Electric Power","WND","wind","percent",15.24601,"million MMBtu",0,"million MMBtu",1724.07687,"thousand megawatthours",15.24601,"million MMBtu",4456.59456299328,2.5849163923841
2022-04-01,"CA","California",98,"Electric Power","SUN","solar","percent",31.96858,"million MMBtu",0,"million MMBtu",3615.12968,"thousand megawatthours",31.96858,"million MMBtu",9344.80561239404,2.58491574011642
2022-04-01,"CA","California",98,"Electric Power","NG","natural gas","percent",36.19805,"million MMBtu",1.8854,"million MMBtu",4816.37351,"thousand megawatthours",38.08345,"million MMBtu",11132.2566501023,2.31133582704683
2022-03-01,"CA","California",98,"Electric Power","NG","natural gas","percent",34.39491,"million MMBtu",1.96215,"million MMBtu",4581.42141,"thousand megawatthours",36.35707,"million MMBtu",10627.6147325343,2.31971996929537
