end_time,artist_name,track_name,ms_played,id
2021-02-16 12:39,Drax Project,Woke Up Late (feat. Hailee Steinfeld),30390,4oPWkP9zQ5ANBbfdHGOvKF
2021-02-16 12:39,Dua Lipa,Don't Start Now,2910,6o6urrgOIVbIzzmO4KJHCO
2021-02-16 12:39,Slightly Stoopid,2am,32020,4cs6ORX8aKd6rtVdwAnnel
2021-02-16 12:39,PUBLIC,Make You Mine,1410,5iFwAOB2TFkPJk8sMlxP8g
2021-02-16 12:43,Taylor Swift,Eyes Open,240690,69Kzq3FMkDwiSFBQzRckFD
2021-02-16 13:01,FINNEAS,Shelter,3239,6H3kDe7CGoWYBabAeVWGiD
2021-02-16 13:04,FINNEAS,Shelter,184272,6H3kDe7CGoWYBabAeVWGiD
2021-02-16 13:07,Sia,1+1,178656,6flTdjNBZPVsEFtjMO8u4W
2021-02-16 13:10,Ashe,The Same,203655,4VXIryQMWpIdGgYR4TrjT1
2021-02-16 13:10,BETWEEN FRIENDS,shiny,4170,1IZwCzAmaFmmdJj0cmhaax
2021-02-16 13:10,COIN,Sagittarius Superstar (feat. Faye Webster),5888,5MKRJvmmJTzC0xdXIiVsAd
2021-02-16 13:11,Pink Sweat$,Heaven,373,3w3y8KPTfNeOKPiqUTakBh
2021-02-16 13:11,Nipsey Hussle,What It Feels Like,970,5GjnIpUlLGEIYk052ISOw9
2021-02-16 13:11,FINNEAS,Luck Pusher,565,56IGNuGmEjWZDtih5N6i3y
2021-02-16 13:13,FINNEAS,Claudia,161876,1PCvKFPWnTXAe2oaReVUcr
2021-02-16 13:25,FINNEAS,Where the Poison Is,194472,2rPduOYc8QyiQVtoNEixk8
2021-02-16 13:28,FINNEAS,New Girl,181437,2TzwPoIbAE6g70DBsvUGSt
2021-02-16 13:31,FINNEAS,Let's Fall in Love for the Night,190348,7kQkmyoHCEqwe7QwDbkSXM
2021-02-16 13:35,FINNEAS,Heaven,222664,3w3y8KPTfNeOKPiqUTakBh
2021-02-16 13:36,FINNEAS,Landmine,72760,2HY1NsQG5J3TJJDgO22IlV
2021-02-16 13:36,FINNEAS,Partners in Crime,14357,4oaU0fMSg3n9kqOwmLPVhH
2021-02-16 13:37,Lorde,Green Light,3008,1YDebgap5OFwXEBG18NJvy
2021-02-16 13:40,Lorde,Tennis Court,198907,74fpNVAJrKGQuqHETi4WSt
2021-02-16 13:44,Lorde,400 Lux,234286,6rjtB7KSIiJ6v9vrACMlqF
2021-02-16 14:03,Lorde,Royals,190185,2dLLR6qlu5UJ5gk0dKz0h3
2021-02-16 14:26,Lorde,Ribs,34133,2MvvoeRt8NcOXWESkxWn3g
2021-02-16 20:24,Taylor Swift,Eyes Open,3916,69Kzq3FMkDwiSFBQzRckFD
2021-02-16 20:28,FINNEAS,American Cliché,203389,2IFioAFD8QEIq17UwOaSFb
2021-02-16 20:32,Cher Lloyd,Want U Back,214573,6E11E0lT5Zy7yb6iT3y8DN
2021-02-16 20:36,PUBLIC,Make You Mine,232906,5iFwAOB2TFkPJk8sMlxP8g
2021-02-16 20:39,Miley Cyrus,Mother's Daughter,219080,2WyRfGeHo97VC5mP1BBSzr
2021-02-16 20:41,The Weeknd,Save Your Tears,112944,5QO79kh1waicV47BqGRL3g
2021-02-17 05:12,The Weeknd,Save Your Tears,30,5QO79kh1waicV47BqGRL3g
2021-02-17 05:16,Taylor Swift,Eyes Open,244586,69Kzq3FMkDwiSFBQzRckFD
2021-02-17 05:19,5 Seconds of Summer,Lover Of Mine,206973,5wejUto9orDIV7g8eb6VZ6
2021-02-17 05:23,Tom Petty and the Heartbreakers,Finding Out,216400,4YgjTjzden2HdFOyEF3R9h
2021-02-17 05:26,Arctic Monkeys,505,840,58ge6dfP91o9oXMzq3XkIS
2021-02-17 12:08,Niall Horan,Arms Of A Stranger,530,63MU2FswcPQclQMxK17Fkb
2021-02-17 12:08,ZAYN,Sweat,5080,2QjOHCTQ1Jl3zawyYOpxh6
2021-02-17 12:08,ZAYN,When Love's Around (feat. Syd),21050,6bL1Rqcx1RXG6VsMmrYN8F
2021-02-17 12:08,Tungevaag,Wake Up Alone (feat. Clara Mae),6310,2vzBZ87UkwvkIycWEWFrYp
2021-02-17 12:08,FINNEAS,What They'll Say About Us,5080,4W1gUkq2TAOOFCBet3i3WR
2021-02-17 12:12,Taylor Swift,right where you left me - bonus track,245026,3zwMVvkBe2qIKDObWgXw4N
2021-02-17 12:14,Alexander Stewart,Best Damn Thing,85133,7lmX3dD2Xy13Jo1oCTR4ot
2021-02-17 12:14,Bruno Mars,Treasure,14770,55h7vJchibLdUkxdlX3fK7
2021-02-17 12:17,FINNEAS,American Cliché,203389,2IFioAFD8QEIq17UwOaSFb
2021-02-17 12:19,Tom Petty and the Heartbreakers,Walls - Circus,65600,5yEpB2g3CbuVk4YmAkzkOK
2021-02-18 04:24,Khalid,8TEEN,228600,5bgwqaRSS3M8WHWruHgSL5
2021-02-18 04:27,The Vamps,Chemicals,170693,2ORvnjpTAXtyTKnaGAgFIv
2021-02-18 04:27,Daya,"Sit Still, Look Pretty",14490,0EGuSSpuu9wmHCtvb4PdLO
2021-02-18 04:28,Harry Styles,Watermelon Sugar,6922,6UelLqGlWMcVH1E5c4H7lY
2021-02-18 04:30,Bruno Mars,Runaway Baby,147746,5MMLS3xm12D7N26xlfFApr
2021-02-18 04:34,Niall Horan,Cross Your Mind,228767,2zPIhmitmDGUjW1JQQ1PeG
2021-02-18 04:37,FINNEAS,I Don't Miss You at All,128916,6ee7CHWggDCiHtZdgzqnJG
2021-02-18 04:40,5 Seconds of Summer,Easier - Live From The Vault,206927,2a8Uiea6C8Y1w4e7mA36eA
2021-02-18 04:43,ZAYN,Vibez,163127,0fySG6A6qLE8IvDpayb5bM
2021-02-18 04:46,Holy Mattress Money,Blue Hundreds,216000,3OYiIQhHc5xNQsdV3jcbSv
2021-02-18 04:49,Billie Eilish,watch,177523,4JeOesjcWWlprTAvucDSJX
2021-02-18 04:52,MAX,Love Me Less (feat. Quinn XCII),177669,2tOOcDDYkh0PSjr6GwPEAJ
2021-02-18 04:56,blackbear,chateau,212926,41mclLjggl2nmbYpRisKrh
2021-02-18 04:57,Jason Mraz,If It Kills Me,45314,5wfiaGgyuQcW2hvDy2NB5J
2021-02-18 05:01,Harry Styles,Cherry,6089,1a1LrfgkTvfHFykIxcv8WU
2021-02-18 05:01,Khalid,Hundred,277080,5TNX6rJ91T8PdEt94X50Y9
2021-02-18 05:04,Jon Bellion,Blu,183344,11iIikXxC6NP0Ma8vMD27x
2021-02-18 05:06,FLETCHER,One Too Many,67995,5NUXE8W12lWcUXgJRCjeEw
2021-02-18 05:09,No Doubt,Underneath It All,17656,6fR6Z0Vc1K6yQWNUIKjAIR
2021-02-18 05:09,5 Seconds of Summer,Lover Of Mine,206973,5wejUto9orDIV7g8eb6VZ6
2021-02-18 05:12,ZAYN,Better,174516,6f5ExP43esnvdKPddwKXJH
2021-02-18 05:12,Jonas Brothers,Sucker,5047,22vgEDb5hykfaTwLuskFGD
2021-02-18 05:12,Bruno Mars,Treasure,1781,55h7vJchibLdUkxdlX3fK7
2021-02-18 05:13,Justin Bieber,Beauty And A Beat,650,190jyVPHYjAqEaOGmMzdyk
2021-02-18 05:13,Harry Styles,Treat People With Kindness,725,03mMSLEJCPoGJwQhHpN5y0
2021-02-18 05:13,Niall Horan,Heartbreak Weather,671,3jf3c9EOFam6Q15sho0XWw
2021-02-18 05:13,Khalid,Outta My Head (with John Mayer),896,09oZ9eXQ2fo6YDrPzJqAoP
2021-02-18 05:13,FINNEAS,Die Alone,22634,4LkT6eAaE0ewY21VHfKoBv
2021-02-18 05:13,Sara Kays,Home for the Summer,35402,14ahZtLV5yKtqQATTfQta0
2021-02-18 05:17,Alessia Cara,I'm Yours,228680,52ZAsLhFwhCZsExUpSdG5H
2021-02-18 05:18,Billie Eilish,bad guy,32100,2Fxmhks0bxGSBdJ92vM42m
