Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,111430,-,-,-,36.77,-120.58,-8,72,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Clearsky DHI,GHI,Clearsky GHI,Clearsky DNI,Cloud Type,Precipitable Water,Wind Direction
2016,1,1,0,30,0,0,0,0.158,0.30000000000000004,85.7,3,1000,0,0,0,0,1,0.705,150.6
2016,1,1,1,30,0,0,0,0.158,0.5,84.84,3,1000,0,0,0,0,1,0.673,162.60000000000002
2016,1,1,2,30,0,0,0,0.158,0.6000000000000001,89.91,2,1000,0,0,0,0,1,0.632,169.60000000000002
2016,1,1,3,30,0,0,0,0.158,0.6000000000000001,95.2,1,1000,0,0,0,0,1,0.59,181.70000000000002
2016,1,1,4,30,0,0,0,0.158,0.7000000000000001,93.86,1,1000,0,0,0,0,1,0.56,192.10000000000002
2016,1,1,5,30,0,0,-1,0.158,0.8,92.79,0,1000,0,0,0,0,1,0.547,196.60000000000002
2016,1,1,6,30,0,0,-1,0.158,0.9,92.08,0,1000,0,0,0,0,4,0.551,192.3
2016,1,1,7,30,14,212,-1,0.158,1.1,86.17,1,1000,14,20,20,212,1,0.5690000000000001,188.9
2016,1,1,8,30,47,653,0,0.158,1.4000000000000001,81.58,4,1000,47,178,178,653,1,0.598,200.10000000000002
2016,1,1,9,30,63,807,0,0.158,2,65.19,7,1000,63,338,338,807,0,0.634,179.4
2016,1,1,10,30,82,841,-1,0.158,2.6,49.02,10,1000,82,452,452,841,0,0.673,162.5
2016,1,1,11,30,86,874,-1,0.158,2.6,44.46,11,1000,86,519,519,874,1,0.72,160.5
2016,1,1,12,30,84,882,-1,0.158,2.3000000000000003,42.17,12,1000,84,525,525,882,1,0.773,157.10000000000002
2016,1,1,13,30,82,848,-1,0.158,2.1,42.79,12,1000,82,467,467,848,2,0.8250000000000001,150.1
2016,1,1,14,30,71,787,-1,0.158,1.7000000000000002,46.19,11,1000,71,356,356,787,7,0.872,140.70000000000002
2016,1,1,15,30,54,651,0,0.158,1.2000000000000002,59.71,9,1000,54,204,204,651,8,0.914,121
2016,1,1,16,30,23,309,1,0.16,1.2000000000000002,71.19,7,1000,23,44,44,309,3,0.9430000000000001,91.2
2016,1,1,17,30,0,0,0,0.16,1.4000000000000001,71.21000000000001,5,1000,0,0,0,0,8,0.9570000000000001,86.5
2016,1,1,18,30,0,0,-1,0.16,1.2000000000000002,67.58,5,1000,0,0,0,0,6,0.963,91.30000000000001
2016,1,1,19,30,0,0,-1,0.16,1.1,66.96000000000001,5,1000,0,0,0,0,8,0.973,104.80000000000001
2016,1,1,20,30,0,0,-1,0.16,1,67.65,5,1000,0,0,0,0,8,0.991,125.30000000000001
2016,1,1,21,30,0,0,-1,0.16,1,68.13,5,1000,0,0,0,0,8,1.018,148.8
2016,1,1,22,30,0,0,-1,0.16,1,69.75,5,1000,0,0,0,0,4,1.057,165.10000000000002
2016,1,1,23,30,0,0,0,0.16,0.9,72.09,5,1000,0,0,0,0,8,1.097,173.5
2016,1,2,0,30,0,0,0,0.16,0.9,74.29,5,1000,0,0,0,0,8,1.123,176
2016,1,2,1,30,0,0,0,0.16,0.8,75.21000000000001,5,1000,0,0,0,0,8,1.123,174.3
2016,1,2,2,30,0,0,0,0.16,0.8,81.36,4,1000,0,0,0,0,4,1.113,173.5
2016,1,2,3,30,0,0,0,0.16,0.8,82.74,4,1000,0,0,0,0,8,1.113,176.70000000000002
2016,1,2,4,30,0,0,0,0.16,0.9,84.71000000000001,4,1000,0,0,0,0,4,1.1260000000000001,176.4
2016,1,2,5,30,0,0,1,0.16,0.9,87.42,4,1000,0,0,0,0,4,1.143,179.5
2016,1,2,6,30,0,0,1,0.16,1,89.5,4,1000,0,0,0,0,4,1.154,182.9
2016,1,2,7,30,5,0,1,0.16,1.1,85.82000000000001,5,1000,13,5,19,189,4,1.155,184.8
2016,1,2,8,30,45,0,3,0.16,1.6,82.93,7,1000,47,45,170,617,8,1.153,186.4
2016,1,2,9,30,87,0,3,0.16,2.3000000000000003,67.5,10,1000,63,87,327,777,4,1.156,175.4
2016,1,2,10,30,194,162,2,0.16,2.9000000000000004,53.85,12,1000,70,265,448,857,4,1.166,160.9
2016,1,2,11,30,213,279,0,0.16,3.1,46.37,13,1000,75,351,514,884,4,1.186,157.4
2016,1,2,12,30,218,69,0,0.16,3.2,40.74,14,1000,77,253,519,883,4,1.217,153.60000000000002
2016,1,2,13,30,196,270,0,0.16,3.1,35.95,15,1000,76,319,463,849,3,1.249,148.6
2016,1,2,14,30,153,88,-1,0.16,2.3000000000000003,37.800000000000004,14,1000,68,185,353,781,4,1.276,145.4
2016,1,2,15,30,91,63,2,0.16,1.4000000000000001,60.33,12,1000,53,106,202,640,4,1.297,137.6
2016,1,2,16,30,23,0,2,0.16,1.1,67,9,1000,23,23,44,299,4,1.319,118.10000000000001
2016,1,2,17,30,0,0,0,0.16,1.2000000000000002,64.23,8,1000,0,0,0,0,4,1.336,114.10000000000001
2016,1,2,18,30,0,0,0,0.16,1.2000000000000002,67.48,7,1000,0,0,0,0,4,1.331,123
2016,1,2,19,30,0,0,0,0.16,1.3,68.04,7,1000,0,0,0,0,4,1.311,137.8
2016,1,2,20,30,0,0,1,0.16,1.3,75.58,6,1000,0,0,0,0,8,1.309,151.70000000000002
2016,1,2,21,30,0,0,1,0.16,1.3,80.11,6,1000,0,0,0,0,4,1.344,160.4
2016,1,2,22,30,0,0,2,0.16,1.2000000000000002,86.26,6,1000,0,0,0,0,8,1.3920000000000001,168.4
2016,1,2,23,30,0,0,3,0.16,1.2000000000000002,92.57000000000001,6,1000,0,0,0,0,8,1.408,173.4
2016,1,3,0,30,0,0,4,0.16,1.2000000000000002,96.66,6,1000,0,0,0,0,8,1.3920000000000001,170.70000000000002
2016,1,3,1,30,0,0,4,0.16,1.2000000000000002,98.77,6,1000,0,0,0,0,4,1.379,163.70000000000002
2016,1,3,2,30,0,0,4,0.16,1.2000000000000002,100,6,1000,0,0,0,0,8,1.381,160.5
2016,1,3,3,30,0,0,4,0.16,1.2000000000000002,100,6,1000,0,0,0,0,8,1.383,160.5
2016,1,3,4,30,0,0,4,0.16,1.2000000000000002,100,6,1000,0,0,0,0,8,1.375,159.20000000000002
2016,1,3,5,30,0,0,4,0.16,1.3,100,6,1000,0,0,0,0,8,1.359,154.3
2016,1,3,6,30,0,0,4,0.16,1.4000000000000001,100,6,1000,0,0,0,0,8,1.354,150.9
2016,1,3,7,30,15,0,6,0.16,1.8,100,7,1000,13,15,17,125,4,1.3860000000000001,152.4
