Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,111430,-,-,-,36.77,-120.58,-8,72,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Clearsky DHI,GHI,Clearsky GHI,Clearsky DNI,Cloud Type,Precipitable Water,Wind Direction
2007,1,1,0,30,0,0,2,0.128,2.3000000000000003,100,3,1010,0,0,0,0,0,1.161,292.6
2007,1,1,1,30,0,0,2,0.128,2.5,100,3,1010,0,0,0,0,0,1.181,294.40000000000003
2007,1,1,2,30,0,0,2,0.128,2.8000000000000003,100,4,1010,0,0,0,0,0,1.186,294.40000000000003
2007,1,1,3,30,0,0,2,0.128,2.8000000000000003,100,4,1010,0,0,0,0,0,1.166,295.1
2007,1,1,4,30,0,0,2,0.128,2.8000000000000003,100,4,1010,0,0,0,0,0,1.122,293.3
2007,1,1,5,30,0,0,2,0.128,3,100,4,1010,0,0,0,0,1,1.066,291.2
2007,1,1,6,30,0,0,2,0.128,3.1,100,4,1010,0,0,0,0,1,1.01,290.1
2007,1,1,7,30,15,125,2,0.128,3.1,100,4,1010,15,19,19,125,1,0.969,289.40000000000003
2007,1,1,8,30,54,569,3,0.128,3.2,88.69,6,1010,54,167,167,569,0,0.9440000000000001,296.90000000000003
2007,1,1,9,30,67,765,3,0.128,3.3000000000000003,71.21000000000001,9,1010,67,327,327,765,0,0.926,306.6
2007,1,1,10,30,68,872,2,0.128,3.3000000000000003,61.18,11,1010,68,452,452,872,0,0.914,310.40000000000003
2007,1,1,11,30,70,909,2,0.128,3.3000000000000003,51.56,13,1010,70,520,520,909,0,0.91,317.6
2007,1,1,12,30,69,915,1,0.128,3.4000000000000004,46.96,14,1000,69,526,526,915,0,0.913,324.5
2007,1,1,13,30,64,895,1,0.128,3.5,42.93,15,1000,64,472,472,895,0,0.917,330.5
2007,1,1,14,30,112,483,1,0.128,3.2,44.94,14,1000,57,288,362,839,3,0.923,331.90000000000003
2007,1,1,15,30,69,417,1,0.128,2.2,52.6,12,1000,45,165,209,711,8,0.9380000000000001,327.20000000000005
2007,1,1,16,30,20,383,2,0.128,1.6,69.78,9,1000,20,46,46,383,0,0.964,318.5
2007,1,1,17,30,0,0,2,0.128,1.7000000000000002,75.97,7,1000,0,0,0,0,3,1.002,315.90000000000003
2007,1,1,18,30,0,0,1,0.128,1.7000000000000002,75.32000000000001,7,1010,0,0,0,0,1,1.038,313.1
