Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,111430,-,-,-,36.77,-120.58,-8,72,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Clearsky DHI,GHI,Clearsky GHI,Clearsky DNI,Cloud Type,Precipitable Water,Wind Direction
2003,1,1,0,30,0,0,4,0.131,1.2000000000000002,100,5,1010,0,0,0,0,8,1.408,305.3
2003,1,1,1,30,0,0,4,0.131,1.1,100,5,1010,0,0,0,0,4,1.456,307.90000000000003
2003,1,1,2,30,0,0,4,0.131,1.1,100,5,1010,0,0,0,0,7,1.496,309.40000000000003
2003,1,1,3,30,0,0,4,0.131,1.3,100,5,1010,0,0,0,0,8,1.534,302.90000000000003
2003,1,1,4,30,0,0,4,0.131,1.6,100,5,1010,0,0,0,0,1,1.576,294.40000000000003
2003,1,1,5,30,0,0,4,0.131,1.8,100,5,1010,0,0,0,0,1,1.621,290.2
2003,1,1,6,30,0,0,4,0.131,2.1,100,5,1010,0,0,0,0,0,1.665,290.5
2003,1,1,7,30,15,117,4,0.131,2.4000000000000004,100,5,1010,15,18,18,117,0,1.694,294.2
2003,1,1,8,30,55,532,4,0.131,2.4000000000000004,91.49,7,1010,55,162,162,532,1,1.704,301.5
2003,1,1,9,30,73,715,5,0.131,2,81.99,9,1010,73,316,316,715,1,1.706,311.8
2003,1,1,10,30,83,794,5,0.131,1.7000000000000002,72.01,11,1010,83,433,433,794,0,1.712,329.40000000000003
2003,1,1,11,30,172,480,4,0.131,1.4000000000000001,65.68,12,1010,88,410,498,828,4,1.728,343.8
2003,1,1,12,30,136,614,4,0.131,1.2000000000000002,61.13,13,1010,87,444,504,834,8,1.7590000000000001,346
2003,1,1,13,30,170,431,4,0.131,1.2000000000000002,61.230000000000004,13,1010,87,366,447,790,8,1.799,352.70000000000005
2003,1,1,14,30,124,413,4,0.131,1.2000000000000002,61.410000000000004,13,1010,76,274,340,728,4,1.833,348.6
2003,1,1,15,30,58,585,5,0.131,1,72.82000000000001,11,1010,58,193,193,585,1,1.858,341.1
2003,1,1,16,30,24,37,6,0.131,0.9,88.65,9,1010,24,26,40,242,3,1.8780000000000001,328.5
2003,1,1,17,30,0,0,4,0.131,1,92.08,7,1010,0,0,0,0,1,1.8960000000000001,331.70000000000005
2003,1,1,18,30,0,0,4,0.131,0.9,89.38,7,1010,0,0,0,0,0,1.913,336.20000000000005
2003,1,1,19,30,0,0,4,0.131,0.7000000000000001,87.17,7,1010,0,0,0,0,0,1.92,333.70000000000005
2003,1,1,20,30,0,0,3,0.131,0.7000000000000001,85.21000000000001,7,1010,0,0,0,0,1,1.9160000000000001,320.5
2003,1,1,21,30,0,0,3,0.131,0.6000000000000001,82.92,7,1010,0,0,0,0,7,1.9100000000000001,305
2003,1,1,22,30,0,0,3,0.131,0.4,81.36,7,1010,0,0,0,0,7,1.911,293
2003,1,1,23,30,0,0,2,0.131,0.30000000000000004,80.41,8,1010,0,0,0,0,7,1.923,289.40000000000003
2003,1,2,0,30,0,0,2,0.131,0.4,80.17,7,1010,0,0,0,0,7,1.951,302.2
