Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,111430,-,-,-,36.77,-120.58,-8,72,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Clearsky DHI,GHI,Clearsky GHI,Clearsky DNI,Cloud Type,Precipitable Water,Wind Direction
2000,1,1,0,30,0,0,4,0.138,0.9,100,6,1000,0,0,0,0,1,1.173,283.5
2000,1,1,1,30,0,0,4,0.138,0.4,100,6,1000,0,0,0,0,8,1.153,293.8
2000,1,1,2,30,0,0,5,0.138,0.2,97.57000000000001,7,1000,0,0,0,0,8,1.1320000000000001,297.1
2000,1,1,3,30,0,0,5,0.138,0.30000000000000004,98.18,7,1000,0,0,0,0,4,1.117,247.3
2000,1,1,4,30,0,0,5,0.138,0.4,98.66,7,1000,0,0,0,0,4,1.105,219.70000000000002
2000,1,1,5,30,0,0,5,0.138,0.4,99,7,1000,0,0,0,0,4,1.093,227.5
2000,1,1,6,30,0,0,5,0.138,0.30000000000000004,99.03,7,1000,0,0,0,0,4,1.075,218
2000,1,1,7,30,6,0,5,0.138,0.6000000000000001,99.27,7,1000,15,6,19,146,4,1.053,172.4
2000,1,1,8,30,53,0,6,0.138,1.1,93.38,8,1000,53,53,168,572,4,1.041,173.20000000000002
2000,1,1,9,30,90,0,5,0.138,1.5,85.4,9,1000,72,90,323,739,4,1.056,197.3
2000,1,1,10,30,129,0,5,0.138,1.8,78.08,10,1000,84,129,441,810,4,1.1,214.3
2000,1,1,11,30,195,28,4,0.138,1.8,71.02,11,1000,92,209,504,833,4,1.156,230
2000,1,1,12,30,204,38,4,0.138,1.7000000000000002,65.47,12,1000,94,223,509,829,7,1.202,243.70000000000002
2000,1,1,13,30,201,133,4,0.138,1.8,65.45,12,1000,90,262,454,802,8,1.224,240.9
2000,1,1,14,30,65,0,4,0.138,1.9000000000000001,70.74,11,1000,78,65,346,739,4,1.231,253.5
2000,1,1,15,30,23,0,5,0.138,1.7000000000000002,77.98,10,1000,61,23,196,588,8,1.224,260.90000000000003
2000,1,1,16,30,10,0,5,0.138,1.7000000000000002,86.82000000000001,9,1000,26,10,40,219,4,1.209,261.8
2000,1,1,17,30,0,0,5,0.138,2.2,93.02,8,1000,0,0,0,0,4,1.184,264.90000000000003
2000,1,1,18,30,0,0,6,0.138,2.9000000000000004,93.44,8,1000,0,0,0,0,1,1.143,272.40000000000003
2000,1,1,19,30,0,0,5,0.138,3.5,91.89,8,1000,0,0,0,0,0,1.106,280.5
2000,1,1,20,30,0,0,5,0.138,3.6,96.78,7,1000,0,0,0,0,0,1.087,285.90000000000003
2000,1,1,21,30,0,0,4,0.138,3.5,100,7,1000,0,0,0,0,1,1.08,288.2
2000,1,1,22,30,0,0,4,0.138,3.4000000000000004,100,6,1000,0,0,0,0,0,1.071,290.5
2000,1,1,23,30,0,0,4,0.138,3,100,6,1000,0,0,0,0,1,1.053,293.3
2000,1,2,0,30,0,0,4,0.138,3,100,6,1000,0,0,0,0,1,1.027,294.90000000000003
2000,1,2,1,30,0,0,4,0.138,3.3000000000000003,100,5,1000,0,0,0,0,1,0.992,297
2000,1,2,2,30,0,0,4,0.138,3.5,100,5,1000,0,0,0,0,1,0.9490000000000001,300.2
2000,1,2,3,30,0,0,4,0.138,3.5,100,5,1000,0,0,0,0,0,0.891,300.3
2000,1,2,4,30,0,0,4,0.138,3.5,100,5,1000,0,0,0,0,1,0.8300000000000001,301.1
2000,1,2,5,30,0,0,4,0.138,3.5,100,5,1010,0,0,0,0,1,0.789,303.6
2000,1,2,6,30,0,0,3,0.138,3.4000000000000004,99.89,5,1010,0,0,0,0,1,0.773,303.8
2000,1,2,7,30,15,167,3,0.138,3.6,96.84,5,1010,15,20,20,167,0,0.769,302.2
2000,1,2,8,30,49,622,3,0.138,3.8000000000000003,87.84,6,1010,49,173,173,622,0,0.784,303.7
2000,1,2,9,30,59,812,2,0.138,4.2,72,8,1010,59,335,335,812,0,0.8260000000000001,310
2000,1,2,10,30,61,896,0,0.138,4.5,54.5,10,1010,61,456,456,896,0,0.877,314.1
2000,1,2,11,30,60,931,-2,0.138,4.800000000000001,41.67,11,1010,60,522,522,931,0,0.923,317.3
2000,1,2,12,30,60,932,-4,0.138,5,33.93,12,1010,60,527,527,932,0,0.973,319.1
2000,1,2,13,30,58,905,-5,0.138,4.800000000000001,29.66,13,1010,58,471,471,905,0,1.039,320.70000000000005
2000,1,2,14,30,52,846,-5,0.138,4.4,30.93,12,1010,52,361,361,846,0,1.106,321.70000000000005
2000,1,2,15,30,41,722,-5,0.138,3.2,35.910000000000004,10,1010,41,209,209,722,0,1.169,321.8
2000,1,2,16,30,20,399,-3,0.138,2,49.99,7,1010,20,47,47,399,0,1.233,322.6
2000,1,2,17,30,0,0,-2,0.138,1.9000000000000001,58.34,6,1010,0,0,0,0,0,1.299,319.20000000000005
2000,1,2,18,30,0,0,-1,0.138,1.9000000000000001,65.85,5,1010,0,0,0,0,0,1.36,317.20000000000005
2000,1,2,19,30,0,0,0,0.138,2,70.19,5,1010,0,0,0,0,1,1.4020000000000001,316
2000,1,2,20,30,0,0,0,0.138,2.2,75.2,5,1010,0,0,0,0,1,1.431,313.3
2000,1,2,21,30,0,0,1,0.138,2.5,86.87,5,1010,0,0,0,0,0,1.453,309.1
2000,1,2,22,30,0,0,2,0.138,2.8000000000000003,93.31,5,1010,0,0,0,0,0,1.467,305.5
2000,1,2,23,30,0,0,2,0.138,2.9000000000000004,99.26,4,1010,0,0,0,0,0,1.473,302.6
2000,1,3,0,30,0,0,2,0.138,2.9000000000000004,100,4,1010,0,0,0,0,1,1.459,300.2
2000,1,3,1,30,0,0,2,0.138,3.1,100,4,1010,0,0,0,0,0,1.425,298
2000,1,3,2,30,0,0,2,0.138,3.3000000000000003,100,4,1010,0,0,0,0,0,1.389,295.5
2000,1,3,3,30,0,0,2,0.138,3,100,3,1010,0,0,0,0,0,1.362,296.7
2000,1,3,4,30,0,0,2,0.138,2.6,100,3,1010,0,0,0,0,0,1.343,297.90000000000003
2000,1,3,5,30,0,0,2,0.138,2.5,100,3,1010,0,0,0,0,0,1.32,293
2000,1,3,6,30,0,0,2,0.138,2.4000000000000004,100,3,1010,0,0,0,0,1,1.294,291.6
2000,1,3,7,30,13,239,2,0.138,2.3000000000000003,96.07000000000001,4,1010,13,20,20,239,1,1.2670000000000001,293.3
2000,1,3,8,30,41,659,2,0.138,2.1,84.35000000000001,6,1010,41,173,173,659,1,1.23,297.6
2000,1,3,9,30,52,819,2,0.138,2.1,67.14,9,1010,52,331,331,819,0,1.19,308
2000,1,3,10,30,58,891,1,0.138,2.1,55.480000000000004,11,1010,58,451,451,891,0,1.171,324.3
2000,1,3,11,30,60,921,0,0.138,2.2,45.59,13,1010,60,517,517,921,0,1.189,336.90000000000003
2000,1,3,12,30,60,923,0,0.138,2.3000000000000003,41.410000000000004,14,1010,60,524,524,923,0,1.228,345.8
2000,1,3,13,30,57,899,0,0.138,2.4000000000000004,41.12,14,1010,57,469,469,899,0,1.2630000000000001,351.3
2000,1,3,14,30,52,842,0,0.138,2.1,40.92,14,1010,52,361,361,842,0,1.285,354.3
2000,1,3,15,30,41,721,0,0.138,1.4000000000000001,47.28,12,1010,41,211,211,721,0,1.301,352.8
2000,1,3,16,30,20,412,1,0.138,1,65.08,9,1010,20,49,49,412,0,1.315,347.3
2000,1,3,17,30,0,0,0,0.138,1,69.62,7,1010,0,0,0,0,0,1.328,347.1
2000,1,3,18,30,0,0,0,0.138,0.9,68.46000000000001,7,1010,0,0,0,0,0,1.337,343.3
2000,1,3,19,30,0,0,0,0.138,0.9,67.67,7,1010,0,0,0,0,0,1.347,325.8
2000,1,3,20,30,0,0,0,0.138,1,72.24,6,1010,0,0,0,0,4,1.364,305.5
2000,1,3,21,30,0,0,0,0.138,1.1,73.09,6,1010,0,0,0,0,1,1.3860000000000001,299.5
2000,1,3,22,30,0,0,0,0.138,1.1,73.21000000000001,6,1010,0,0,0,0,0,1.407,303.1
2000,1,3,23,30,0,0,0,0.138,1.1,72.5,6,1010,0,0,0,0,0,1.424,308.20000000000005
2000,1,4,0,30,0,0,0,0.138,1,72.08,6,1010,0,0,0,0,0,1.444,311.20000000000005
2000,1,4,1,30,0,0,0,0.138,0.9,77.06,5,1010,0,0,0,0,1,1.454,307.40000000000003
2000,1,4,2,30,0,0,0,0.138,0.8,77.05,5,1010,0,0,0,0,0,1.428,294.90000000000003
2000,1,4,3,30,0,0,0,0.138,0.6000000000000001,77.46000000000001,5,1010,0,0,0,0,7,1.359,282
2000,1,4,4,30,0,0,0,0.138,0.6000000000000001,77.52,5,1010,0,0,0,0,4,1.2670000000000001,270.7
2000,1,4,5,30,0,0,0,0.138,0.8,82.96000000000001,4,1010,0,0,0,0,4,1.18,272.5
2000,1,4,6,30,0,0,0,0.138,0.9,83.44,4,1010,0,0,0,0,4,1.11,276
2000,1,4,7,30,20,0,0,0.138,1.1,79.26,5,1010,13,20,20,241,4,1.077,286
2000,1,4,8,30,43,656,1,0.138,1.7000000000000002,69.91,8,1010,43,174,174,656,0,1.085,295.5
2000,1,4,9,30,91,555,2,0.138,2.3000000000000003,62.65,10,1010,57,280,332,806,8,1.111,307.5
2000,1,4,10,30,189,235,2,0.138,2.7,54.45,12,1010,65,293,451,872,8,1.179,319.90000000000003
2000,1,4,11,30,225,144,2,0.138,3,50.9,13,1010,70,297,516,896,8,1.291,322.90000000000003
2000,1,4,12,30,164,1,2,0.138,3.2,52.31,13,1010,71,164,523,896,4,1.296,322.5
2000,1,4,13,30,197,69,2,0.138,3.4000000000000004,50.660000000000004,14,1010,66,229,472,883,4,1.195,322.40000000000003
2000,1,4,14,30,58,833,3,0.138,3.5,51.42,14,1010,58,365,365,833,0,1.137,320.6
2000,1,4,15,30,46,712,3,0.138,2.7,60.11,12,1010,46,215,215,712,0,1.117,321.8
2000,1,4,16,30,22,405,4,0.138,1.7000000000000002,77.53,9,1010,22,52,52,405,0,1.071,323.20000000000005
2000,1,4,17,30,0,0,4,0.138,1.6,89.84,7,1010,0,0,0,0,0,0.992,321.8
2000,1,4,18,30,0,0,4,0.138,1.8,97.54,6,1010,0,0,0,0,0,0.923,320.70000000000005
2000,1,4,19,30,0,0,4,0.138,2.1,98.44,6,1010,0,0,0,0,0,0.88,318.70000000000005
2000,1,4,20,30,0,0,4,0.138,2.4000000000000004,99.65,6,1010,0,0,0,0,0,0.844,316.6
2000,1,4,21,30,0,0,4,0.138,2.6,100,6,1010,0,0,0,0,0,0.8190000000000001,313.1
2000,1,4,22,30,0,0,4,0.138,2.8000000000000003,100,6,1010,0,0,0,0,1,0.804,309.1
2000,1,4,23,30,0,0,4,0.138,3,100,6,1010,0,0,0,0,0,0.799,303.5
2000,1,5,0,30,0,0,4,0.138,3.3000000000000003,100,6,1010,0,0,0,0,0,0.8140000000000001,302.3
2000,1,5,1,30,0,0,4,0.138,3.6,100,6,1010,0,0,0,0,1,0.842,306
2000,1,5,2,30,0,0,4,0.138,3.5,100,6,1010,0,0,0,0,1,0.857,310.5
2000,1,5,3,30,0,0,4,0.138,3.5,100,6,1010,0,0,0,0,1,0.853,307.5
2000,1,5,4,30,0,0,4,0.138,3.7,100,6,1010,0,0,0,0,1,0.8280000000000001,303.2
2000,1,5,5,30,0,0,4,0.138,3.8000000000000003,100,5,1010,0,0,0,0,1,0.765,306.2
2000,1,5,6,30,0,0,4,0.138,3.6,100,5,1010,0,0,0,0,1,0.676,306.8
2000,1,5,7,30,14,233,4,0.138,3.7,100,5,1010,14,21,21,233,1,0.598,303
2000,1,5,8,30,44,681,3,0.138,4.1000000000000005,85.93,7,1010,44,181,181,681,0,0.538,304.2
2000,1,5,9,30,55,852,2,0.138,4.5,69.55,9,1010,55,346,346,852,0,0.493,308.40000000000003
2000,1,5,10,30,61,928,0,0.138,4.9,47.410000000000004,12,1010,61,472,472,928,0,0.46900000000000003,316.1
2000,1,5,11,30,62,961,-2,0.138,5.2,33.33,14,1010,62,542,542,961,0,0.462,322.1
2000,1,5,12,30,62,966,-4,0.138,5.4,26.54,15,1010,62,550,550,966,0,0.465,324.90000000000003
2000,1,5,13,30,59,943,-6,0.138,5.300000000000001,22.900000000000002,16,1010,59,496,496,943,0,0.47200000000000003,325.5
2000,1,5,14,30,54,889,-6,0.138,4.7,24.060000000000002,15,1000,54,384,384,889,0,0.47600000000000003,325.20000000000005
2000,1,5,15,30,43,771,-5,0.138,3.4000000000000004,29.03,13,1010,43,228,228,771,0,0.47600000000000003,321
2000,1,5,16,30,22,467,-3,0.138,2.4000000000000004,44.61,9,1010,22,57,57,467,0,0.47600000000000003,312.5
2000,1,5,17,30,0,0,-2,0.138,2.3000000000000003,53.34,7,1010,0,0,0,0,0,0.47500000000000003,307.70000000000005
2000,1,5,18,30,0,0,-2,0.138,2,58.35,6,1010,0,0,0,0,0,0.464,305.7
2000,1,5,19,30,0,0,-2,0.138,1.8,63.15,5,1010,0,0,0,0,0,0.447,305.5
